Number of detectors, Number of user table parameters/detector                   
6280 6
Det# Delta      L2      Code 2theta  dcode eff_fac effc  res      dtime  phi    
   601  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   602  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   603  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   604  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   605  -1.00   3.1450  900    0.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   606  -1.00   3.1450  900    0.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   607  -1.00   0.9999  900    0.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   608  -1.00   0.9999  900    0.000  2.0  0.00244 44.0  0.00100  0.10    0.000
501200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501001  -1.00   1.3832  900  103.876  2.0  1.25000  1.0  0.00550  3.00   39.600
501002  -1.00   1.3755  900  103.677  2.0  1.25000  1.0  0.00550  3.00   39.600
501003  -1.00   1.3832  900  103.447  2.0  1.25000  1.0  0.00550  3.00   39.600
501004  -1.00   1.3755  900  103.249  2.0  1.25000  1.0  0.00550  3.00   39.600
501005  -1.00   1.3832  900  103.032  2.0  1.25000  1.0  0.00550  3.00   39.600
501006  -1.00   1.3755  900  102.843  2.0  1.25000  1.0  0.00550  3.00   39.600
501007  -1.00   1.3832  900  102.618  2.0  1.25000  1.0  0.00550  3.00   39.600
501008  -1.00   1.3755  900  102.434  2.0  1.25000  1.0  0.00550  3.00   39.600
501009  -1.00   1.3832  900  102.213  2.0  1.25000  1.0  0.00550  3.00   39.600
501010  -1.00   1.3755  900  102.020  2.0  1.25000  1.0  0.00550  3.00   39.600
501011  -1.00   1.3832  900  101.794  2.0  1.25000  1.0  0.00550  3.00   39.600
501012  -1.00   1.3755  900  101.604  2.0  1.25000  1.0  0.00550  3.00   39.600
501013  -1.00   1.3832  900  101.377  2.0  1.25000  1.0  0.00550  3.00   39.600
501014  -1.00   1.3755  900  101.183  2.0  1.25000  1.0  0.00550  3.00   39.600
501015  -1.00   1.3832  900  100.961  2.0  1.25000  1.0  0.00550  3.00   39.600
501016  -1.00   1.3755  900  100.774  2.0  1.25000  1.0  0.00550  3.00   39.600
501017  -1.00   1.3832  900  100.554  2.0  1.25000  1.0  0.00550  3.00   39.600
501018  -1.00   1.3755  900  100.361  2.0  1.25000  1.0  0.00550  3.00   39.600
501019  -1.00   1.3832  900  100.130  2.0  1.25000  1.0  0.00550  3.00   39.600
501020  -1.00   1.3755  900   99.927  2.0  1.25000  1.0  0.00550  3.00   39.600
501021  -1.00   1.3832  900   99.711  2.0  1.25000  1.0  0.00550  3.00   39.600
501022  -1.00   1.3755  900   99.518  2.0  1.25000  1.0  0.00550  3.00   39.600
501023  -1.00   1.3832  900   99.292  2.0  1.25000  1.0  0.00550  3.00   39.600
