Number of entries, Number of user table parameters                              
8915 6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
   611  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   612  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   621  -1.00  -6.8530  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   601  -1.00   0.9999  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   631  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   632  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   633  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   634  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   641  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   642  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   643  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   644  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
900000  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
900001  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101001  -1.00   2.3728  900    7.144  2.0  1.25000  1.0  0.00200  3.00   30.000
101002  -1.00   2.3656  900    7.499  2.0  1.25000  1.0  0.00200  3.00   30.000
101003  -1.00   2.3725  900    7.384  2.0  1.25000  1.0  0.00200  3.00   30.000
101004  -1.00   2.3654  900    7.739  2.0  1.25000  1.0  0.00200  3.00   30.000
101005  -1.00   2.3723  900    7.623  2.0  1.25000  1.0  0.00200  3.00   30.000
101006  -1.00   2.3652  900    7.978  2.0  1.25000  1.0  0.00200  3.00   30.000
101007  -1.00   2.3720  900    7.862  2.0  1.25000  1.0  0.00200  3.00   30.000
101008  -1.00   2.3650  900    8.218  2.0  1.25000  1.0  0.00200  3.00   30.000
101009  -1.00   2.3719  900    8.100  2.0  1.25000  1.0  0.00200  3.00   30.000
101201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101010  -1.00   2.3649  900    8.457  2.0  1.25000  1.0  0.00200  3.00   30.000
101011  -1.00   2.3717  900    8.340  2.0  1.25000  1.0  0.00200  3.00   30.000
101012  -1.00   2.3649  900    8.697  2.0  1.25000  1.0  0.00200  3.00   30.000
