Number of entries, Number of user table parameters                              
        9870           6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
   601  -1.00   0.9999  900  180.000  2.0  0.00244 44.0   0.00100  0.00    0.000
   611  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0   0.00100  0.10    0.000
   612  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0   0.00100  0.10    0.000
   621  -1.00  -6.8530  900  180.000  2.0  0.00244 44.0   0.00100  3.00    0.000
   631  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0   0.00100  0.00    0.000
   632  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0   0.00100  0.00    0.000
   633  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0   0.00100  0.10    0.000
   634  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0   0.00100  0.00    0.000
   641  -1.00   3.1450  900  180.000  2.0  0.00244 44.0   0.00100  3.00    0.000
   642  -1.00   3.1450  900  180.000  2.0  0.00244 44.0   0.00100  3.00    0.000
   643  -1.00   3.1450  900  180.000  2.0  0.00244 44.0   0.00100  3.00    0.000
   644  -1.00   3.1450  900  180.000  2.0  0.00244 44.0   0.00100  3.00    0.000
801001  -1.00   2.7570  900    1.210  2.0  1.25000  1.0   0.00550  3.00   90.000
801002  -1.00   2.7631  900    1.313  2.0  1.25000  1.0   0.00550  3.00   90.000
801003  -1.00   2.7572  900    1.419  2.0  1.25000  1.0   0.00550  3.00   90.000
801004  -1.00   2.7634  900    1.520  2.0  1.25000  1.0   0.00550  3.00   90.000
801005  -1.00   2.7575  900    1.627  2.0  1.25000  1.0   0.00550  3.00   90.000
801006  -1.00   2.7636  900    1.729  2.0  1.25000  1.0   0.00550  3.00   90.000
801007  -1.00   2.7578  900    1.836  2.0  1.25000  1.0   0.00550  3.00   90.000
801008  -1.00   2.7640  900    1.936  2.0  1.25000  1.0   0.00550  3.00   90.000
801009  -1.00   2.7581  900    2.045  2.0  1.25000  1.0   0.00550  3.00   90.000
801010  -1.00   2.7643  900    2.145  2.0  1.25000  1.0   0.00550  3.00   90.000
801011  -1.00   2.7585  900    2.253  2.0  1.25000  1.0   0.00550  3.00   90.000
801012  -1.00   2.7647  900    2.352  2.0  1.25000  1.0   0.00550  3.00   90.000
801013  -1.00   2.7589  900    2.462  2.0  1.25000  1.0   0.00550  3.00   90.000
801014  -1.00   2.7651  900    2.560  2.0  1.25000  1.0   0.00550  3.00   90.000
801015  -1.00   2.7593  900    2.670  2.0  1.25000  1.0   0.00550  3.00   90.000
801016  -1.00   2.7656  900    2.769  2.0  1.25000  1.0   0.00550  3.00   90.000
801017  -1.00   2.7598  900    2.879  2.0  1.25000  1.0   0.00550  3.00   90.000
801018  -1.00   2.7661  900    2.976  2.0  1.25000  1.0   0.00550  3.00   90.000
801019  -1.00   2.7603  900    3.086  2.0  1.25000  1.0   0.00550  3.00   90.000
801020  -1.00   2.7666  900    3.184  2.0  1.25000  1.0   0.00550  3.00   90.000
811001  -1.00   2.7570  900    1.210  2.0  1.25000  1.0   0.00550  3.00    0.000
811002  -1.00   2.7631  900    1.313  2.0  1.25000  1.0   0.00550  3.00    0.000
811003  -1.00   2.7572  900    1.419  2.0  1.25000  1.0   0.00550  3.00    0.000
811004  -1.00   2.7634  900    1.520  2.0  1.25000  1.0   0.00550  3.00    0.000
811005  -1.00   2.7575  900    1.627  2.0  1.25000  1.0   0.00550  3.00    0.000
811006  -1.00   2.7636  900    1.729  2.0  1.25000  1.0   0.00550  3.00    0.000
811007  -1.00   2.7578  900    1.836  2.0  1.25000  1.0   0.00550  3.00    0.000
811008  -1.00   2.7640  900    1.936  2.0  1.25000  1.0   0.00550  3.00    0.000
811009  -1.00   2.7581  900    2.045  2.0  1.25000  1.0   0.00550  3.00    0.000
811010  -1.00   2.7643  900    2.145  2.0  1.25000  1.0   0.00550  3.00    0.000
811011  -1.00   2.7585  900    2.253  2.0  1.25000  1.0   0.00550  3.00    0.000
811012  -1.00   2.7647  900    2.352  2.0  1.25000  1.0   0.00550  3.00    0.000
811013  -1.00   2.7589  900    2.462  2.0  1.25000  1.0   0.00550  3.00    0.000
811014  -1.00   2.7651  900    2.560  2.0  1.25000  1.0   0.00550  3.00    0.000
811015  -1.00   2.7593  900    2.670  2.0  1.25000  1.0   0.00550  3.00    0.000
811016  -1.00   2.7656  900    2.769  2.0  1.25000  1.0   0.00550  3.00    0.000
811017  -1.00   2.7598  900    2.879  2.0  1.25000  1.0   0.00550  3.00    0.000
811018  -1.00   2.7661  900    2.976  2.0  1.25000  1.0   0.00550  3.00    0.000
811019  -1.00   2.7603  900    3.086  2.0  1.25000  1.0   0.00550  3.00    0.000
811020  -1.00   2.7666  900    3.184  2.0  1.25000  1.0   0.00550  3.00    0.000
821001  -1.00   2.7570  900    1.210  2.0  1.25000  1.0   0.00550  3.00  -90.000
821002  -1.00   2.7631  900    1.313  2.0  1.25000  1.0   0.00550  3.00  -90.000
821003  -1.00   2.7572  900    1.419  2.0  1.25000  1.0   0.00550  3.00  -90.000
821004  -1.00   2.7634  900    1.520  2.0  1.25000  1.0   0.00550  3.00  -90.000
821005  -1.00   2.7575  900    1.627  2.0  1.25000  1.0   0.00550  3.00  -90.000
821006  -1.00   2.7636  900    1.729  2.0  1.25000  1.0   0.00550  3.00  -90.000
821007  -1.00   2.7578  900    1.836  2.0  1.25000  1.0   0.00550  3.00  -90.000
821008  -1.00   2.7640  900    1.936  2.0  1.25000  1.0   0.00550  3.00  -90.000
821009  -1.00   2.7581  900    2.045  2.0  1.25000  1.0   0.00550  3.00  -90.000
821010  -1.00   2.7643  900    2.145  2.0  1.25000  1.0   0.00550  3.00  -90.000
821011  -1.00   2.7585  900    2.253  2.0  1.25000  1.0   0.00550  3.00  -90.000
821012  -1.00   2.7647  900    2.352  2.0  1.25000  1.0   0.00550  3.00  -90.000
821013  -1.00   2.7589  900    2.462  2.0  1.25000  1.0   0.00550  3.00  -90.000
821014  -1.00   2.7651  900    2.560  2.0  1.25000  1.0   0.00550  3.00  -90.000
821015  -1.00   2.7593  900    2.670  2.0  1.25000  1.0   0.00550  3.00  -90.000
821016  -1.00   2.7656  900    2.769  2.0  1.25000  1.0   0.00550  3.00  -90.000
821017  -1.00   2.7598  900    2.879  2.0  1.25000  1.0   0.00550  3.00  -90.000
821018  -1.00   2.7661  900    2.976  2.0  1.25000  1.0   0.00550  3.00  -90.000
821019  -1.00   2.7603  900    3.086  2.0  1.25000  1.0   0.00550  3.00  -90.000
821020  -1.00   2.7666  900    3.184  2.0  1.25000  1.0   0.00550  3.00  -90.000
831001  -1.00   2.7570  900    1.210  2.0  1.25000  1.0   0.00550  3.00  180.000
831002  -1.00   2.7631  900    1.313  2.0  1.25000  1.0   0.00550  3.00  180.000
831003  -1.00   2.7572  900    1.419  2.0  1.25000  1.0   0.00550  3.00  180.000
831004  -1.00   2.7634  900    1.520  2.0  1.25000  1.0   0.00550  3.00  180.000
