Number of entries, Number of user table parameters                              
7891 6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
   611  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   612  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   622  -1.00  -6.8530  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   601  -1.00   0.9999  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   631  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   632  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   633  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   634  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   641  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   642  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   643  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   644  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
900000  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
900001  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
900002  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
900003  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101001  -1.00   2.3728  900    7.062  2.0  1.25000  1.0  0.00200  3.00   30.000
101002  -1.00   2.3656  900    7.413  2.0  1.25000  1.0  0.00200  3.00   30.000
101003  -1.00   2.3725  900    7.298  2.0  1.25000  1.0  0.00200  3.00   30.000
101004  -1.00   2.3654  900    7.649  2.0  1.25000  1.0  0.00200  3.00   30.000
101005  -1.00   2.3723  900    7.535  2.0  1.25000  1.0  0.00200  3.00   30.000
101006  -1.00   2.3652  900    7.886  2.0  1.25000  1.0  0.00200  3.00   30.000
101007  -1.00   2.3720  900    7.771  2.0  1.25000  1.0  0.00200  3.00   30.000
101008  -1.00   2.3650  900    8.123  2.0  1.25000  1.0  0.00200  3.00   30.000
101009  -1.00   2.3719  900    8.006  2.0  1.25000  1.0  0.00200  3.00   30.000
101201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101010  -1.00   2.3649  900    8.359  2.0  1.25000  1.0  0.00200  3.00   30.000
