Number of detectors, Number of user table parameters/detector                   
6284 6
Det# 	Delta	L2	Code 2theta  dcode eff_fac effc  res      dtime   phi            
   601  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   602  -1.00 -10.7800  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   603  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  3.00    0.000
   604  -1.00  -1.4650  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   605  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   606  -1.00   3.1450  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
   607  -1.00   0.9999  900  180.000  2.0  0.00244 44.0  0.00100  0.10    0.000
   608  -1.00   0.9999  900  180.000  2.0  0.00244 44.0  0.00100  0.00    0.000
501200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501001  -1.00   1.3832  900  103.958  2.0  1.25000  1.0  0.00550  3.00   39.600
501002  -1.00   1.3755  900  103.806  2.0  1.25000  1.0  0.00550  3.00   39.600
501003  -1.00   1.3832  900  103.523  2.0  1.25000  1.0  0.00550  3.00   39.600
501004  -1.00   1.3755  900  103.317  2.0  1.25000  1.0  0.00550  3.00   39.600
501005  -1.00   1.3832  900  103.105  2.0  1.25000  1.0  0.00550  3.00   39.600
501006  -1.00   1.3755  900  102.905  2.0  1.25000  1.0  0.00550  3.00   39.600
501007  -1.00   1.3832  900  102.687  2.0  1.25000  1.0  0.00550  3.00   39.600
501008  -1.00   1.3755  900  102.491  2.0  1.25000  1.0  0.00550  3.00   39.600
501009  -1.00   1.3832  900  102.277  2.0  1.25000  1.0  0.00550  3.00   39.600
501010  -1.00   1.3755  900  102.074  2.0  1.25000  1.0  0.00550  3.00   39.600
501011  -1.00   1.3832  900  101.863  2.0  1.25000  1.0  0.00550  3.00   39.600
501012  -1.00   1.3755  900  101.657  2.0  1.25000  1.0  0.00550  3.00   39.600
501013  -1.00   1.3832  900  101.443  2.0  1.25000  1.0  0.00550  3.00   39.600
501014  -1.00   1.3755  900  101.240  2.0  1.25000  1.0  0.00550  3.00   39.600
501015  -1.00   1.3832  900  101.039  2.0  1.25000  1.0  0.00550  3.00   39.600
501016  -1.00   1.3755  900  100.884  2.0  1.25000  1.0  0.00550  3.00   39.600
501017  -1.00   1.3832  900  100.617  2.0  1.25000  1.0  0.00550  3.00   39.600
501018  -1.00   1.3755  900  100.472  2.0  1.25000  1.0  0.00550  3.00   39.600
501019  -1.00   1.3832  900  100.196  2.0  1.25000  1.0  0.00550  3.00   39.600
501020  -1.00   1.3755  900  100.038  2.0  1.25000  1.0  0.00550  3.00   39.600
501021  -1.00   1.3832  900   99.772  2.0  1.25000  1.0  0.00550  3.00   39.600
501022  -1.00   1.3755  900   99.631  2.0  1.25000  1.0  0.00550  3.00   39.600
501023  -1.00   1.3832  900   99.367  2.0  1.25000  1.0  0.00550  3.00   39.600
