 Number_of_detectors, Number of ut parameters
               908                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 10101001    0.00000  -13.54200  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10102001    0.00000  -11.92800  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10104001    0.00000   -4.56000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10104002    0.00000   -4.56000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10105001    0.00000   -2.66000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10105002    0.00000   -2.66000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10106001    0.00000    6.50000  300.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10106002    0.00000    6.50000  300.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 20204001    0.00000    4.81597  300.00000    5.16790    0.00000    0.00000    0.00000  180.00000    2.00000
 20204002    0.00000    4.83399  300.00000    5.06541    0.00000    0.00000    0.00000  180.00000    2.00000
 20204003    0.00000    4.85203  300.00000    4.96370    0.00000    0.00000    0.00000  180.00000    2.00000
 20204004    0.00000    4.87008  300.00000    4.86276    0.00000    0.00000    0.00000  180.00000    2.00000
 20204005    0.00000    4.88815  300.00000    4.76259    0.00000    0.00000    0.00000  180.00000    2.00000
 20204006    0.00000    4.90624  300.00000    4.66318    0.00000    0.00000    0.00000  180.00000    2.00000
 20204007    0.00000    4.92433  300.00000    4.56453    0.00000    0.00000    0.00000  180.00000    2.00000
 20204008    0.00000    4.94245  300.00000    4.46661    0.00000    0.00000    0.00000  180.00000    2.00000
 20204009    0.00000    4.96058  300.00000    4.36944    0.00000    0.00000    0.00000  180.00000    2.00000
 20204010    0.00000    4.97872  300.00000    4.27301    0.00000    0.00000    0.00000  180.00000    2.00000
 20204011    0.00000    4.99688  300.00000    4.17730    0.00000    0.00000    0.00000  180.00000    2.00000
 20204012    0.00000    5.01505  300.00000    4.08231    0.00000    0.00000    0.00000  180.00000    2.00000
 20204013    0.00000    5.03323  300.00000    3.98804    0.00000    0.00000    0.00000  180.00000    2.00000
 20204014    0.00000    5.05143  300.00000    3.89449    0.00000    0.00000    0.00000  180.00000    2.00000
 20204015    0.00000    5.06964  300.00000    3.80164    0.00000    0.00000    0.00000  180.00000    2.00000
 20204016    0.00000    5.08787  300.00000    3.70949    0.00000    0.00000    0.00000  180.00000    2.00000
 20204017    0.00000    5.10610  300.00000    3.61804    0.00000    0.00000    0.00000  180.00000    2.00000
 20204018    0.00000    5.12436  300.00000    3.52728    0.00000    0.00000    0.00000  180.00000    2.00000
 20206001    0.00000    4.81596  300.00000    5.18922    0.00000    0.00000    0.00000  231.42000    2.00000
 20206002    0.00000    4.83398  300.00000    5.08665    0.00000    0.00000    0.00000  231.42000    2.00000
 20206003    0.00000    4.85202  300.00000    4.98485    0.00000    0.00000    0.00000  231.42000    2.00000
 20206004    0.00000    4.87007  300.00000    4.88383    0.00000    0.00000    0.00000  231.42000    2.00000
 20206005    0.00000    4.88814  300.00000    4.78358    0.00000    0.00000    0.00000  231.42000    2.00000
 20206006    0.00000    4.90622  300.00000    4.68408    0.00000    0.00000    0.00000  231.42000    2.00000
 20206007    0.00000    4.92431  300.00000    4.58534    0.00000    0.00000    0.00000  231.42000    2.00000
 20206008    0.00000    4.94242  300.00000    4.48735    0.00000    0.00000    0.00000  231.42000    2.00000
 20206009    0.00000    4.96055  300.00000    4.39009    0.00000    0.00000    0.00000  231.42000    2.00000
 20206010    0.00000    4.97869  300.00000    4.29357    0.00000    0.00000    0.00000  231.42000    2.00000
 20206011    0.00000    4.99684  300.00000    4.19778    0.00000    0.00000    0.00000  231.42000    2.00000
 20206012    0.00000    5.01501  300.00000    4.10272    0.00000    0.00000    0.00000  231.42000    2.00000
 20206013    0.00000    5.03319  300.00000    4.00836    0.00000    0.00000    0.00000  231.42000    2.00000
 20206014    0.00000    5.05139  300.00000    3.91472    0.00000    0.00000    0.00000  231.42000    2.00000
 20206015    0.00000    5.06960  300.00000    3.82179    0.00000    0.00000    0.00000  231.42000    2.00000
 20206016    0.00000    5.08782  300.00000    3.72956    0.00000    0.00000    0.00000  231.42000    2.00000
 20206017    0.00000    5.10605  300.00000    3.63802    0.00000    0.00000    0.00000  231.42000    2.00000
 20206018    0.00000    5.12430  300.00000    3.54718    0.00000    0.00000    0.00000  231.42000    2.00000
 20401001    0.00000    3.59782  300.00000   11.38911    0.00000    0.00000    0.00000  102.87000    2.00000
 20401002    0.00000    3.61578  300.00000   11.24944    0.00000    0.00000    0.00000  102.87000    2.00000
 20401003    0.00000    3.63376  300.00000   11.11115    0.00000    0.00000    0.00000  102.87000    2.00000
 20401004    0.00000    3.65176  300.00000   10.97423    0.00000    0.00000    0.00000  102.87000    2.00000
 20401005    0.00000    3.66979  300.00000   10.83866    0.00000    0.00000    0.00000  102.87000    2.00000
 20401006    0.00000    3.68783  300.00000   10.70441    0.00000    0.00000    0.00000  102.87000    2.00000
 20401007    0.00000    3.70589  300.00000   10.57148    0.00000    0.00000    0.00000  102.87000    2.00000
 20401008    0.00000    3.72398  300.00000   10.43984    0.00000    0.00000    0.00000  102.87000    2.00000
 20401009    0.00000    3.74208  300.00000   10.30948    0.00000    0.00000    0.00000  102.87000    2.00000
 20401010    0.00000    3.76020  300.00000   10.18037    0.00000    0.00000    0.00000  102.87000    2.00000
 20401011    0.00000    3.77834  300.00000   10.05251    0.00000    0.00000    0.00000  102.87000    2.00000
 20401012    0.00000    3.79650  300.00000    9.92587    0.00000    0.00000    0.00000  102.87000    2.00000
 20401013    0.00000    3.81468  300.00000    9.80045    0.00000    0.00000    0.00000  102.87000    2.00000
 20401014    0.00000    3.83288  300.00000    9.67622    0.00000    0.00000    0.00000  102.87000    2.00000
 20401015    0.00000    3.85109  300.00000    9.55316    0.00000    0.00000    0.00000  102.87000    2.00000
 20401016    0.00000    3.86932  300.00000    9.43127    0.00000    0.00000    0.00000  102.87000    2.00000
 20401017    0.00000    3.88757  300.00000    9.31053    0.00000    0.00000    0.00000  102.87000    2.00000
 20401018    0.00000    3.90584  300.00000    9.19091    0.00000    0.00000    0.00000  102.87000    2.00000
 20404001    0.00000    3.59783  300.00000   11.21329    0.00000    0.00000    0.00000  180.00000    2.00000
 20404002    0.00000    3.61582  300.00000   11.07450    0.00000    0.00000    0.00000  180.00000    2.00000
 20404003    0.00000    3.63383  300.00000   10.93709    0.00000    0.00000    0.00000  180.00000    2.00000
 20404004    0.00000    3.65186  300.00000   10.80104    0.00000    0.00000    0.00000  180.00000    2.00000
 20404005    0.00000    3.66991  300.00000   10.66633    0.00000    0.00000    0.00000  180.00000    2.00000
 20404006    0.00000    3.68798  300.00000   10.53294    0.00000    0.00000    0.00000  180.00000    2.00000
 20404007    0.00000    3.70607  300.00000   10.40085    0.00000    0.00000    0.00000  180.00000    2.00000
 20404008    0.00000    3.72417  300.00000   10.27006    0.00000    0.00000    0.00000  180.00000    2.00000
 20404009    0.00000    3.74230  300.00000   10.14053    0.00000    0.00000    0.00000  180.00000    2.00000
 20404010    0.00000    3.76045  300.00000   10.01226    0.00000    0.00000    0.00000  180.00000    2.00000
 20404011    0.00000    3.77861  300.00000    9.88522    0.00000    0.00000    0.00000  180.00000    2.00000
 20404012    0.00000    3.79680  300.00000    9.75940    0.00000    0.00000    0.00000  180.00000    2.00000
 20404013    0.00000    3.81500  300.00000    9.63478    0.00000    0.00000    0.00000  180.00000    2.00000
 20404014    0.00000    3.83322  300.00000    9.51136    0.00000    0.00000    0.00000  180.00000    2.00000
 20404015    0.00000    3.85146  300.00000    9.38910    0.00000    0.00000    0.00000  180.00000    2.00000
 20404016    0.00000    3.86971  300.00000    9.26800    0.00000    0.00000    0.00000  180.00000    2.00000
 20404017    0.00000    3.88799  300.00000    9.14805    0.00000    0.00000    0.00000  180.00000    2.00000
 20404018    0.00000    3.90628  300.00000    9.02922    0.00000    0.00000    0.00000  180.00000    2.00000
 20405001    0.00000    3.59783  300.00000   11.29020    0.00000    0.00000    0.00000  205.71000    2.00000
 20405002    0.00000    3.61580  300.00000   11.15103    0.00000    0.00000    0.00000  205.71000    2.00000
 20405003    0.00000    3.63380  300.00000   11.01323    0.00000    0.00000    0.00000  205.71000    2.00000
 20405004    0.00000    3.65182  300.00000   10.87680    0.00000    0.00000    0.00000  205.71000    2.00000
 20405005    0.00000    3.66985  300.00000   10.74171    0.00000    0.00000    0.00000  205.71000    2.00000
 20405006    0.00000    3.68791  300.00000   10.60795    0.00000    0.00000    0.00000  205.71000    2.00000
