 Number_of_detectors, Number of ut parameters
               908                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 10101001    0.00000  -13.54200  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10102001    0.00000  -11.92800  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10104001    0.00000   -4.56000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10104002    0.00000   -4.56000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10105001    0.00000   -2.66000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10105002    0.00000   -2.66000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10106001    0.00000    6.50000  300.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10106002    0.00000    6.50000  300.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 20204001    0.00000    4.81596  300.00000    5.18724    0.00000    0.00000    0.00000  180.00000    2.00000
 20204002    0.00000    4.83398  300.00000    5.08467    0.00000    0.00000    0.00000  180.00000    2.00000
 20204003    0.00000    4.85202  300.00000    4.98288    0.00000    0.00000    0.00000  180.00000    2.00000
 20204004    0.00000    4.87007  300.00000    4.88187    0.00000    0.00000    0.00000  180.00000    2.00000
 20204005    0.00000    4.88814  300.00000    4.78162    0.00000    0.00000    0.00000  180.00000    2.00000
 20204006    0.00000    4.90622  300.00000    4.68214    0.00000    0.00000    0.00000  180.00000    2.00000
 20204007    0.00000    4.92432  300.00000    4.58340    0.00000    0.00000    0.00000  180.00000    2.00000
 20204008    0.00000    4.94243  300.00000    4.48542    0.00000    0.00000    0.00000  180.00000    2.00000
 20204009    0.00000    4.96055  300.00000    4.38817    0.00000    0.00000    0.00000  180.00000    2.00000
 20204010    0.00000    4.97869  300.00000    4.29166    0.00000    0.00000    0.00000  180.00000    2.00000
 20204011    0.00000    4.99685  300.00000    4.19588    0.00000    0.00000    0.00000  180.00000    2.00000
 20204012    0.00000    5.01501  300.00000    4.10082    0.00000    0.00000    0.00000  180.00000    2.00000
 20204013    0.00000    5.03320  300.00000    4.00647    0.00000    0.00000    0.00000  180.00000    2.00000
 20204014    0.00000    5.05139  300.00000    3.91284    0.00000    0.00000    0.00000  180.00000    2.00000
 20204015    0.00000    5.06960  300.00000    3.81992    0.00000    0.00000    0.00000  180.00000    2.00000
 20204016    0.00000    5.08782  300.00000    3.72769    0.00000    0.00000    0.00000  180.00000    2.00000
 20204017    0.00000    5.10606  300.00000    3.63617    0.00000    0.00000    0.00000  180.00000    2.00000
 20204018    0.00000    5.12431  300.00000    3.54533    0.00000    0.00000    0.00000  180.00000    2.00000
 20206001    0.00000    4.81596  300.00000    5.19140    0.00000    0.00000    0.00000  231.42000    2.00000
 20206002    0.00000    4.83398  300.00000    5.08882    0.00000    0.00000    0.00000  231.42000    2.00000
 20206003    0.00000    4.85202  300.00000    4.98702    0.00000    0.00000    0.00000  231.42000    2.00000
 20206004    0.00000    4.87007  300.00000    4.88599    0.00000    0.00000    0.00000  231.42000    2.00000
 20206005    0.00000    4.88814  300.00000    4.78572    0.00000    0.00000    0.00000  231.42000    2.00000
 20206006    0.00000    4.90622  300.00000    4.68622    0.00000    0.00000    0.00000  231.42000    2.00000
 20206007    0.00000    4.92431  300.00000    4.58747    0.00000    0.00000    0.00000  231.42000    2.00000
 20206008    0.00000    4.94242  300.00000    4.48947    0.00000    0.00000    0.00000  231.42000    2.00000
 20206009    0.00000    4.96055  300.00000    4.39221    0.00000    0.00000    0.00000  231.42000    2.00000
 20206010    0.00000    4.97869  300.00000    4.29568    0.00000    0.00000    0.00000  231.42000    2.00000
 20206011    0.00000    4.99684  300.00000    4.19988    0.00000    0.00000    0.00000  231.42000    2.00000
 20206012    0.00000    5.01501  300.00000    4.10480    0.00000    0.00000    0.00000  231.42000    2.00000
 20206013    0.00000    5.03319  300.00000    4.01044    0.00000    0.00000    0.00000  231.42000    2.00000
 20206014    0.00000    5.05138  300.00000    3.91680    0.00000    0.00000    0.00000  231.42000    2.00000
 20206015    0.00000    5.06959  300.00000    3.82385    0.00000    0.00000    0.00000  231.42000    2.00000
 20206016    0.00000    5.08781  300.00000    3.73161    0.00000    0.00000    0.00000  231.42000    2.00000
 20206017    0.00000    5.10605  300.00000    3.64007    0.00000    0.00000    0.00000  231.42000    2.00000
 20206018    0.00000    5.12430  300.00000    3.54922    0.00000    0.00000    0.00000  231.42000    2.00000
 20401001    0.00000    3.59782  300.00000   11.39398    0.00000    0.00000    0.00000  102.87000    2.00000
 20401002    0.00000    3.61578  300.00000   11.25429    0.00000    0.00000    0.00000  102.87000    2.00000
 20401003    0.00000    3.63376  300.00000   11.11598    0.00000    0.00000    0.00000  102.87000    2.00000
 20401004    0.00000    3.65176  300.00000   10.97903    0.00000    0.00000    0.00000  102.87000    2.00000
 20401005    0.00000    3.66978  300.00000   10.84344    0.00000    0.00000    0.00000  102.87000    2.00000
 20401006    0.00000    3.68783  300.00000   10.70917    0.00000    0.00000    0.00000  102.87000    2.00000
 20401007    0.00000    3.70589  300.00000   10.57621    0.00000    0.00000    0.00000  102.87000    2.00000
 20401008    0.00000    3.72397  300.00000   10.44455    0.00000    0.00000    0.00000  102.87000    2.00000
 20401009    0.00000    3.74207  300.00000   10.31416    0.00000    0.00000    0.00000  102.87000    2.00000
 20401010    0.00000    3.76020  300.00000   10.18503    0.00000    0.00000    0.00000  102.87000    2.00000
 20401011    0.00000    3.77834  300.00000   10.05715    0.00000    0.00000    0.00000  102.87000    2.00000
 20401012    0.00000    3.79650  300.00000    9.93049    0.00000    0.00000    0.00000  102.87000    2.00000
 20401013    0.00000    3.81467  300.00000    9.80504    0.00000    0.00000    0.00000  102.87000    2.00000
 20401014    0.00000    3.83287  300.00000    9.68079    0.00000    0.00000    0.00000  102.87000    2.00000
 20401015    0.00000    3.85108  300.00000    9.55771    0.00000    0.00000    0.00000  102.87000    2.00000
 20401016    0.00000    3.86931  300.00000    9.43580    0.00000    0.00000    0.00000  102.87000    2.00000
 20401017    0.00000    3.88756  300.00000    9.31503    0.00000    0.00000    0.00000  102.87000    2.00000
 20401018    0.00000    3.90583  300.00000    9.19540    0.00000    0.00000    0.00000  102.87000    2.00000
 20404001    0.00000    3.59783  300.00000   11.25329    0.00000    0.00000    0.00000  180.00000    2.00000
 20404002    0.00000    3.61581  300.00000   11.11430    0.00000    0.00000    0.00000  180.00000    2.00000
 20404003    0.00000    3.63381  300.00000   10.97669    0.00000    0.00000    0.00000  180.00000    2.00000
 20404004    0.00000    3.65184  300.00000   10.84044    0.00000    0.00000    0.00000  180.00000    2.00000
 20404005    0.00000    3.66988  300.00000   10.70553    0.00000    0.00000    0.00000  180.00000    2.00000
 20404006    0.00000    3.68794  300.00000   10.57195    0.00000    0.00000    0.00000  180.00000    2.00000
 20404007    0.00000    3.70603  300.00000   10.43967    0.00000    0.00000    0.00000  180.00000    2.00000
 20404008    0.00000    3.72413  300.00000   10.30868    0.00000    0.00000    0.00000  180.00000    2.00000
 20404009    0.00000    3.74225  300.00000   10.17896    0.00000    0.00000    0.00000  180.00000    2.00000
 20404010    0.00000    3.76039  300.00000   10.05050    0.00000    0.00000    0.00000  180.00000    2.00000
 20404011    0.00000    3.77855  300.00000    9.92327    0.00000    0.00000    0.00000  180.00000    2.00000
 20404012    0.00000    3.79673  300.00000    9.79727    0.00000    0.00000    0.00000  180.00000    2.00000
 20404013    0.00000    3.81493  300.00000    9.67247    0.00000    0.00000    0.00000  180.00000    2.00000
 20404014    0.00000    3.83314  300.00000    9.54886    0.00000    0.00000    0.00000  180.00000    2.00000
 20404015    0.00000    3.85138  300.00000    9.42642    0.00000    0.00000    0.00000  180.00000    2.00000
 20404016    0.00000    3.86963  300.00000    9.30514    0.00000    0.00000    0.00000  180.00000    2.00000
 20404017    0.00000    3.88789  300.00000    9.18501    0.00000    0.00000    0.00000  180.00000    2.00000
 20404018    0.00000    3.90618  300.00000    9.06600    0.00000    0.00000    0.00000  180.00000    2.00000
 20405001    0.00000    3.59782  300.00000   11.33995    0.00000    0.00000    0.00000  205.71000    2.00000
 20405002    0.00000    3.61579  300.00000   11.20053    0.00000    0.00000    0.00000  205.71000    2.00000
 20405003    0.00000    3.63378  300.00000   11.06249    0.00000    0.00000    0.00000  205.71000    2.00000
 20405004    0.00000    3.65179  300.00000   10.92581    0.00000    0.00000    0.00000  205.71000    2.00000
 20405005    0.00000    3.66982  300.00000   10.79048    0.00000    0.00000    0.00000  205.71000    2.00000
 20405006    0.00000    3.68787  300.00000   10.65647    0.00000    0.00000    0.00000  205.71000    2.00000
