Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta       Len2  Code    2theta  UT1  UT2  UT3  UT4  UT5
     611       0.0       7.641   100      180.0    0    0    0    0    0
     612       0.0       7.641   100      180.0    0    0    0    0    0
     621       0.0       7.356   100      180.0    0    0    0    0    0
     622       0.0       7.356   100      180.0    0    0    0    0    0
     631       0.0       4.703   100      180.0    0    0    0    0    0
     632       0.0       4.703   100      180.0    0    0    0    0    0
     641       0.0       4.418   100      180.0    0    0    0    0    0
     642       0.0       4.418   100      180.0    0    0    0    0    0
     651       0.0       2.773   100      180.0    0    0    0    0    0
     652       0.0       2.773   100      180.0    0    0    0    0    0
     661       0.0       2.123   100      180.0    0    0    0    0    0
     662       0.0       2.123   100      180.0    0    0    0    0    0
     671       0.0       3.270   100      0.0    0    0    0    0    0
     672       0.0       3.270   100      0.0    0    0    0    0    0
	 681       0.0       0.25   100      0.0    0    0    0    0    0
	 682       0.0       0.25   100      0.0    0    0    0    0    0
  101200       0.0       0.25   100      90.0    0    0    0    0    0
101001  0.0  2.251000  100  13.901193  0  0  0  0  90.000000
101002  0.0  2.250000  100  13.773574  0  0  0  0  90.000000
101003  0.0  2.250000  100  13.649255  0  0  0  0  90.000000
101004  0.0  2.250000  100  13.527327  0  0  0  0  90.000000
101005  0.0  2.249000  100  13.409827  0  0  0  0  90.000000
101006  0.0  2.249000  100  13.271125  0  0  0  0  90.000000
101007  0.0  2.249000  100  13.148046  0  0  0  0  90.000000
101008  0.0  2.249000  100  13.020285  0  0  0  0  90.000000
101009  0.0  2.248000  100  12.897028  0  0  0  0  90.000000
101010  0.0  2.248000  100  12.773499  0  0  0  0  90.000000
101011  0.0  2.248000  100  12.651038  0  0  0  0  90.000000
101012  0.0  2.248000  100  12.332163  0  0  0  0  90.000000
101013  0.0  2.247000  100  12.197026  0  0  0  0  90.000000
101014  0.0  2.247000  100  12.072862  0  0  0  0  90.000000
101015  0.0  2.247000  100  11.946739  0  0  0  0  90.000000
101016  0.0  2.247000  100  11.821212  0  0  0  0  90.000000
101017  0.0  2.247000  100  11.693594  0  0  0  0  90.000000
101018  0.0  2.247000  100  11.577040  0  0  0  0  90.000000
101019  0.0  2.247000  100  11.448604  0  0  0  0  90.000000
101020  0.0  2.246000  100  11.312631  0  0  0  0  90.000000
101021  0.0  2.246000  100  11.200109  0  0  0  0  90.000000
101022  0.0  2.246000  100  11.068855  0  0  0  0  90.000000
101023  0.0  2.246000  100  10.744862  0  0  0  0  90.000000
101024  0.0  2.246000  100  10.606097  0  0  0  0  90.000000
101025  0.0  2.246000  100  10.462420  0  0  0  0  90.000000
101026  0.0  2.246000  100  10.361628  0  0  0  0  90.000000
101027  0.0  2.246000  100  10.222549  0  0  0  0  90.000000
101028  0.0  2.246000  100  10.089914  0  0  0  0  90.000000
101029  0.0  2.246000  100  9.959849  0  0  0  0  90.000000
101030  0.0  2.246000  100  9.826811  0  0  0  0  90.000000
101031  0.0  2.246000  100  9.698275  0  0  0  0  90.000000
101032  0.0  2.246000  100  9.590367  0  0  0  0  90.000000
101033  0.0  2.246000  100  9.472660  0  0  0  0  90.000000
101034  0.0  2.246000  100  9.130547  0  0  0  0  90.000000
101035  0.0  2.246000  100  9.036662  0  0  0  0  90.000000
101036  0.0  2.246000  100  8.890597  0  0  0  0  90.000000
101037  0.0  2.247000  100  8.776420  0  0  0  0  90.000000
101038  0.0  2.247000  100  8.660967  0  0  0  0  90.000000
101039  0.0  2.247000  100  8.900000  0  0  0  0  90.000000
101040  0.0  2.247000  100  8.770000  0  0  0  0  90.000000
101041  0.0  2.247000  100  8.280047  0  0  0  0  90.000000
101042  0.0  2.247000  100  8.510000  0  0  0  0  90.000000
101043  0.0  2.247000  100  7.429300  0  0  0  0  90.000000
101044  0.0  2.248000  100  7.914841  0  0  0  0  90.000000
101045  0.0  2.248000  100  8.030000  0  0  0  0  90.000000
101046  0.0  2.248000  100  7.900000  0  0  0  0  90.000000
101047  0.0  2.248000  100  7.770000  0  0  0  0  90.000000
101048  0.0  2.249000  100  7.650000  0  0  0  0  90.000000
101049  0.0  2.249000  100  7.520000  0  0  0  0  90.000000
101050  0.0  2.249000  100  6.741142  0  0  0  0  90.000000
101051  0.0  2.249000  100  8.216898  0  0  0  0  90.000000
101052  0.0  2.250000  100  7.140000  0  0  0  0  90.000000
101053  0.0  2.250000  100  7.010000  0  0  0  0  90.000000
101054  0.0  2.250000  100  6.880000  0  0  0  0  90.000000
101055  0.0  2.251000  100  8.867702  0  0  0  0  90.000000
  102200       0.0       0.25   100      90.0    0    0    0    0    0
102001  0.0  2.251000  100  14.106784  0  0  0  0  180.000000
102002  0.0  2.250000  100  13.976542  0  0  0  0  180.000000
102003  0.0  2.250000  100  13.835641  0  0  0  0  180.000000
