Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta    Len2(m)  Code    2theta  UT1  UT2  UT3  UT4  UT5
     611       0.0     0.2500  2000    90.000    0    0    0    0    0
     612       0.0     0.2500  2000    90.000    0    0    0    0    0
     621       0.0     0.2500  2000    90.000    0    0    0    0    0
     622       0.0     0.2500  2000    90.000    0    0    0    0    0
     631       0.0     0.2500  2000    90.000    0    0    0    0    0
     632       0.0     0.2500  2000    90.000    0    0    0    0    0
     641       0.0     0.2500  2000    90.000    0    0    0    0    0
     642       0.0     0.2500  2000    90.000    0    0    0    0    0
     651       0.0     0.2500  2000    90.000    0    0    0    0    0
     652       0.0     0.2500  2000    90.000    0    0    0    0    0
     661       0.0     0.2500  2000    90.000    0    0    0    0    0
     662       0.0     0.2500  2000    90.000    0    0    0    0    0
     671       0.0     0.2500  2000    90.000    0    0    0    0    0
     672       0.0     0.2500  2000    90.000    0    0    0    0    0
681  0.0  0.000000  2000  nan  0  0  0  0  0.000000
682  0.0  0.000000  2000  nan  0  0  0  0  0.000000
  101200       0.0     2.2505  1000     6.757    0    0    0    0    0
101001  0.0  2.251000  1000  5.501757  0  0  0  0  90.000000
101002  0.0  2.250000  1000  8.410573  0  0  0  0  90.000000
101003  0.0  2.250000  1000  8.368473  0  0  0  0  90.000000
101004  0.0  2.250000  1000  9.679020  0  0  0  0  90.000000
101005  0.0  2.249000  1000  7.270000  0  0  0  0  90.000000
101006  0.0  2.249000  1000  7.390000  0  0  0  0  90.000000
101007  0.0  2.249000  1000  10.910716  0  0  0  0  90.000000
101008  0.0  2.249000  1000  7.312118  0  0  0  0  90.000000
101009  0.0  2.248000  1000  7.770000  0  0  0  0  90.000000
101010  0.0  2.248000  1000  7.900000  0  0  0  0  90.000000
101011  0.0  2.248000  1000  8.030000  0  0  0  0  90.000000
101012  0.0  2.248000  1000  7.491172  0  0  0  0  90.000000
101013  0.0  2.247000  1000  8.053942  0  0  0  0  90.000000
101014  0.0  2.247000  1000  8.160492  0  0  0  0  90.000000
101015  0.0  2.247000  1000  8.280821  0  0  0  0  90.000000
101016  0.0  2.247000  1000  8.123607  0  0  0  0  90.000000
101017  0.0  2.247000  1000  8.542626  0  0  0  0  90.000000
101018  0.0  2.247000  1000  8.662579  0  0  0  0  90.000000
101019  0.0  2.247000  1000  8.775213  0  0  0  0  90.000000
101020  0.0  2.246000  1000  8.427566  0  0  0  0  90.000000
101021  0.0  2.246000  1000  9.036975  0  0  0  0  90.000000
101022  0.0  2.246000  1000  9.165498  0  0  0  0  90.000000
101023  0.0  2.246000  1000  9.478563  0  0  0  0  90.000000
101024  0.0  2.246000  1000  9.596337  0  0  0  0  90.000000
101025  0.0  2.246000  1000  9.718410  0  0  0  0  90.000000
101026  0.0  2.246000  1000  9.854526  0  0  0  0  90.000000
101027  0.0  2.246000  1000  9.974461  0  0  0  0  90.000000
101028  0.0  2.246000  1000  10.094775  0  0  0  0  90.000000
101029  0.0  2.246000  1000  10.227240  0  0  0  0  90.000000
101030  0.0  2.246000  1000  10.352657  0  0  0  0  90.000000
101031  0.0  2.246000  1000  10.477891  0  0  0  0  90.000000
101032  0.0  2.246000  1000  10.617257  0  0  0  0  90.000000
101033  0.0  2.246000  1000  10.742358  0  0  0  0  90.000000
101034  0.0  2.246000  1000  11.067011  0  0  0  0  90.000000
101035  0.0  2.246000  1000  11.203094  0  0  0  0  90.000000
101036  0.0  2.246000  1000  11.330100  0  0  0  0  90.000000
101037  0.0  2.247000  1000  11.441820  0  0  0  0  90.000000
101038  0.0  2.247000  1000  11.583981  0  0  0  0  90.000000
101039  0.0  2.247000  1000  11.703417  0  0  0  0  90.000000
101040  0.0  2.247000  1000  11.821831  0  0  0  0  90.000000
101041  0.0  2.247000  1000  11.954095  0  0  0  0  90.000000
101042  0.0  2.247000  1000  12.080362  0  0  0  0  90.000000
101043  0.0  2.247000  1000  12.206862  0  0  0  0  90.000000
101044  0.0  2.248000  1000  12.331836  0  0  0  0  90.000000
101045  0.0  2.248000  1000  12.646702  0  0  0  0  90.000000
101046  0.0  2.248000  1000  12.782341  0  0  0  0  90.000000
101047  0.0  2.248000  1000  12.904886  0  0  0  0  90.000000
101048  0.0  2.249000  1000  13.030120  0  0  0  0  90.000000
101049  0.0  2.249000  1000  13.152938  0  0  0  0  90.000000
101050  0.0  2.249000  1000  13.282527  0  0  0  0  90.000000
101051  0.0  2.249000  1000  13.404184  0  0  0  0  90.000000
101052  0.0  2.250000  1000  13.527616  0  0  0  0  90.000000
101053  0.0  2.250000  1000  13.655580  0  0  0  0  90.000000
101054  0.0  2.250000  1000  13.785015  0  0  0  0  90.000000
101055  0.0  2.251000  1000  13.902899  0  0  0  0  90.000000
  102200       0.0     2.2505  1000     6.757    0    0    0    0    0
102001  0.0  2.251000  1000  6.542939  0  0  0  0  180.000000
102002  0.0  2.250000  1000  6.651198  0  0  0  0  180.000000
102003  0.0  2.250000  1000  6.801009  0  0  0  0  180.000000
102004  0.0  2.250000  1000  6.900272  0  0  0  0  180.000000
102005  0.0  2.249000  1000  7.054336  0  0  0  0  180.000000
102006  0.0  2.249000  1000  7.390000  0  0  0  0  180.000000
102007  0.0  2.249000  1000  7.281360  0  0  0  0  180.000000
102008  0.0  2.249000  1000  7.392412  0  0  0  0  180.000000
102009  0.0  2.248000  1000  7.470518  0  0  0  0  180.000000
102010  0.0  2.248000  1000  7.374396  0  0  0  0  180.000000
102011  0.0  2.248000  1000  7.764426  0  0  0  0  180.000000
102012  0.0  2.248000  1000  8.097482  0  0  0  0  180.000000
102013  0.0  2.247000  1000  8.221384  0  0  0  0  180.000000
102014  0.0  2.247000  1000  8.385295  0  0  0  0  180.000000
102015  0.0  2.247000  1000  8.500930  0  0  0  0  180.000000
102016  0.0  2.247000  1000  8.603749  0  0  0  0  180.000000
102017  0.0  2.247000  1000  8.716158  0  0  0  0  180.000000
102018  0.0  2.247000  1000  8.852751  0  0  0  0  180.000000
102019  0.0  2.247000  1000  9.150000  0  0  0  0  180.000000
102020  0.0  2.246000  1000  9.095404  0  0  0  0  180.000000
102021  0.0  2.246000  1000  9.250788  0  0  0  0  180.000000
102022  0.0  2.246000  1000  9.530000  0  0  0  0  180.000000
102023  0.0  2.246000  1000  9.700172  0  0  0  0  180.000000
102024  0.0  2.246000  1000  9.810230  0  0  0  0  180.000000
102025  0.0  2.246000  1000  9.930950  0  0  0  0  180.000000
102026  0.0  2.246000  1000  10.046718  0  0  0  0  180.000000
102027  0.0  2.246000  1000  10.186030  0  0  0  0  180.000000
102028  0.0  2.246000  1000  10.258519  0  0  0  0  180.000000
102029  0.0  2.246000  1000  10.448893  0  0  0  0  180.000000
102030  0.0  2.246000  1000  10.533434  0  0  0  0  180.000000
102031  0.0  2.246000  1000  10.662247  0  0  0  0  180.000000
102032  0.0  2.246000  1000  10.910000  0  0  0  0  180.000000
102033  0.0  2.246000  1000  10.898782  0  0  0  0  180.000000
102034  0.0  2.246000  1000  11.259597  0  0  0  0  180.000000
102035  0.0  2.246000  1000  11.382038  0  0  0  0  180.000000
102036  0.0  2.246000  1000  11.521284  0  0  0  0  180.000000
102037  0.0  2.247000  1000  11.633552  0  0  0  0  180.000000
102038  0.0  2.247000  1000  11.774673  0  0  0  0  180.000000
102039  0.0  2.247000  1000  11.895817  0  0  0  0  180.000000
102040  0.0  2.247000  1000  12.030262  0  0  0  0  180.000000
102041  0.0  2.247000  1000  12.148849  0  0  0  0  180.000000
102042  0.0  2.247000  1000  12.272476  0  0  0  0  180.000000
102043  0.0  2.247000  1000  12.400596  0  0  0  0  180.000000
102044  0.0  2.248000  1000  12.504508  0  0  0  0  180.000000
102045  0.0  2.248000  1000  12.849305  0  0  0  0  180.000000
102046  0.0  2.248000  1000  12.973985  0  0  0  0  180.000000
102047  0.0  2.248000  1000  13.106905  0  0  0  0  180.000000
102048  0.0  2.249000  1000  13.225938  0  0  0  0  180.000000
102049  0.0  2.249000  1000  13.331921  0  0  0  0  180.000000
102050  0.0  2.249000  1000  13.457477  0  0  0  0  180.000000
102051  0.0  2.249000  1000  13.601222  0  0  0  0  180.000000
102052  0.0  2.250000  1000  13.721863  0  0  0  0  180.000000
102053  0.0  2.250000  1000  13.846411  0  0  0  0  180.000000
102054  0.0  2.250000  1000  13.988829  0  0  0  0  180.000000
102055  0.0  2.251000  1000  14.085581  0  0  0  0  180.000000
  103200       0.0     2.2505  1000     6.757    0    0    0    0    0
103001  0.0  2.251000  1000  6.608164  0  0  0  0  -90.000000
103002  0.0  2.250000  1000  6.723871  0  0  0  0  -90.000000
103003  0.0  2.250000  1000  6.839602  0  0  0  0  -90.000000
103004  0.0  2.250000  1000  7.000758  0  0  0  0  -90.000000
103005  0.0  2.249000  1000  7.115041  0  0  0  0  -90.000000
103006  0.0  2.249000  1000  7.230369  0  0  0  0  -90.000000
103007  0.0  2.249000  1000  7.368256  0  0  0  0  -90.000000
103008  0.0  2.249000  1000  7.504524  0  0  0  0  -90.000000
103009  0.0  2.248000  1000  7.635000  0  0  0  0  -90.000000
103010  0.0  2.248000  1000  7.728092  0  0  0  0  -90.000000
103011  0.0  2.248000  1000  8.030000  0  0  0  0  -90.000000
103012  0.0  2.248000  1000  8.187217  0  0  0  0  -90.000000
103013  0.0  2.247000  1000  8.271569  0  0  0  0  -90.000000
103014  0.0  2.247000  1000  8.441142  0  0  0  0  -90.000000
103015  0.0  2.247000  1000  8.544136  0  0  0  0  -90.000000
103016  0.0  2.247000  1000  8.770000  0  0  0  0  -90.000000
103017  0.0  2.247000  1000  8.900000  0  0  0  0  -90.000000
103018  0.0  2.247000  1000  8.931409  0  0  0  0  -90.000000
103019  0.0  2.247000  1000  9.150000  0  0  0  0  -90.000000
103020  0.0  2.246000  1000  9.195778  0  0  0  0  -90.000000
103021  0.0  2.246000  1000  9.410000  0  0  0  0  -90.000000
103022  0.0  2.246000  1000  9.441410  0  0  0  0  -90.000000
103023  0.0  2.246000  1000  9.760000  0  0  0  0  -90.000000
