 no. of detectors, no. of ut parameters                                         
   700     5 
 det, delta, len2,code, 2theta, ut1, ut2, ut3, ut4, ut5                         
     1    0.000   -2.242  300 180.000   2.000   0.000   0.000   0.000   0.100
     2    0.000    4.679  300   0.010   2.000   0.000   0.000   0.000   0.100
     3    0.000   -2.242  300 180.000   2.000   0.000   0.000   0.000   0.100
     4    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
     5    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
     6    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
     7    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
     8    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
     9    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    10    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    11    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    12    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    13    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    14    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    15    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    16    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    17    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    18    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    19    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
    20    0.000    2.600  300  15.000   2.000   0.000   0.000   0.000   2.000
   101    0.000    4.516  300   5.465   2.000   0.000   0.000  90.000   2.000
   102    0.000    4.535  300   5.351   2.000   0.000   0.000  90.000   2.000
   103    0.000    4.554  300   5.238   2.000   0.000   0.000  90.000   2.000
   104    0.000    4.573  300   5.125   2.000   0.000   0.000  90.000   2.000
   105    0.000    4.592  300   5.014   2.000   0.000   0.000  90.000   2.000
   106    0.000    4.611  300   4.904   2.000   0.000   0.000  90.000   2.000
   107    0.000    4.630  300   4.794   2.000   0.000   0.000  90.000   2.000
   108    0.000    4.649  300   4.686   2.000   0.000   0.000  90.000   2.000
   109    0.000    4.668  300   4.578   2.000   0.000   0.000  90.000   2.000
   110    0.000    4.687  300   4.472   2.000   0.000   0.000  90.000   2.000
   111    0.000    4.707  300   4.366   2.000   0.000   0.000  90.000   2.000
   112    0.000    4.726  300   4.261   2.000   0.000   0.000  90.000   2.000
   113    0.000    4.745  300   4.156   2.000   0.000   0.000  90.000   2.000
   114    0.000    4.764  300   4.053   2.000   0.000   0.000  90.000   2.000
   115    0.000    4.783  300   3.951   2.000   0.000   0.000  90.000   2.000
   116    0.000    4.802  300   3.849   2.000   0.000   0.000  90.000   2.000
   117    0.000    4.822  300   3.748   2.000   0.000   0.000  90.000   2.000
   118    0.000    4.841  300   3.648   2.000   0.000   0.000  90.000   2.000
   119    0.000    4.860  300   3.549   2.000   0.000   0.000  90.000   2.000
   120    0.000    4.879  300   3.450   2.000   0.000   0.000  90.000   2.000
   121    0.000    4.519  300   5.466   2.000   0.000   0.000  33.000   2.000
   122    0.000    4.538  300   5.344   2.000   0.000   0.000  33.000   2.000
   123    0.000    4.556  300   5.222   2.000   0.000   0.000  33.000   2.000
   124    0.000    4.575  300   5.102   2.000   0.000   0.000  33.000   2.000
   125    0.000    4.594  300   4.983   2.000   0.000   0.000  33.000   2.000
   126    0.000    4.613  300   4.864   2.000   0.000   0.000  33.000   2.000
   127    0.000    4.631  300   4.747   2.000   0.000   0.000  33.000   2.000
   128    0.000    4.650  300   4.631   2.000   0.000   0.000  33.000   2.000
   129    0.000    4.669  300   4.515   2.000   0.000   0.000  33.000   2.000
   130    0.000    4.688  300   4.400   2.000   0.000   0.000  33.000   2.000
   131    0.000    4.706  300   4.287   2.000   0.000   0.000  33.000   2.000
   132    0.000    4.725  300   4.174   2.000   0.000   0.000  33.000   2.000
   133    0.000    4.744  300   4.062   2.000   0.000   0.000  33.000   2.000
   134    0.000    4.763  300   3.951   2.000   0.000   0.000  33.000   2.000
   135    0.000    4.782  300   3.841   2.000   0.000   0.000  33.000   2.000
   136    0.000    4.801  300   3.732   2.000   0.000   0.000  33.000   2.000
   137    0.000    4.820  300   3.623   2.000   0.000   0.000  33.000   2.000
   138    0.000    4.839  300   3.516   2.000   0.000   0.000  33.000   2.000
   139    0.000    4.858  300   3.409   2.000   0.000   0.000  33.000   2.000
   140    0.000    4.877  300   3.303   2.000   0.000   0.000  33.000   2.000
   201    0.000    4.059  300   7.878   2.000   0.000   0.000 136.000   2.000
   202    0.000    4.078  300   7.750   2.000   0.000   0.000 136.000   2.000
   203    0.000    4.096  300   7.622   2.000   0.000   0.000 136.000   2.000
   204    0.000    4.115  300   7.496   2.000   0.000   0.000 136.000   2.000
   205    0.000    4.134  300   7.370   2.000   0.000   0.000 136.000   2.000
   206    0.000    4.153  300   7.246   2.000   0.000   0.000 136.000   2.000
   207    0.000    4.172  300   7.123   2.000   0.000   0.000 136.000   2.000
   208    0.000    4.191  300   7.001   2.000   0.000   0.000 136.000   2.000
   209    0.000    4.210  300   6.880   2.000   0.000   0.000 136.000   2.000
   210    0.000    4.229  300   6.761   2.000   0.000   0.000 136.000   2.000
   211    0.000    4.249  300   6.642   2.000   0.000   0.000 136.000   2.000
   212    0.000    4.268  300   6.525   2.000   0.000   0.000 136.000   2.000
   213    0.000    4.287  300   6.408   2.000   0.000   0.000 136.000   2.000
   214    0.000    4.306  300   6.293   2.000   0.000   0.000 136.000   2.000
   215    0.000    4.325  300   6.178   2.000   0.000   0.000 136.000   2.000
   216    0.000    4.344  300   6.065   2.000   0.000   0.000 136.000   2.000
   217    0.000    4.363  300   5.952   2.000   0.000   0.000 136.000   2.000
   218    0.000    4.383  300   5.841   2.000   0.000   0.000 136.000   2.000
   219    0.000    4.402  300   5.730   2.000   0.000   0.000 136.000   2.000
   220    0.000    4.421  300   5.621   2.000   0.000   0.000 136.000   2.000
   221    0.000    4.062  300   7.950   2.000   0.000   0.000 192.000   2.000
   222    0.000    4.080  300   7.812   2.000   0.000   0.000 192.000   2.000
   223    0.000    4.099  300   7.675   2.000   0.000   0.000 192.000   2.000
   224    0.000    4.117  300   7.539   2.000   0.000   0.000 192.000   2.000
   225    0.000    4.136  300   7.405   2.000   0.000   0.000 192.000   2.000
   226    0.000    4.155  300   7.272   2.000   0.000   0.000 192.000   2.000
   227    0.000    4.173  300   7.139   2.000   0.000   0.000 192.000   2.000
   228    0.000    4.192  300   7.008   2.000   0.000   0.000 192.000   2.000
   229    0.000    4.211  300   6.879   2.000   0.000   0.000 192.000   2.000
   230    0.000    4.230  300   6.750   2.000   0.000   0.000 192.000   2.000
   231    0.000    4.248  300   6.623   2.000   0.000   0.000 192.000   2.000
   232    0.000    4.267  300   6.496   2.000   0.000   0.000 192.000   2.000
   233    0.000    4.286  300   6.371   2.000   0.000   0.000 192.000   2.000
   234    0.000    4.305  300   6.247   2.000   0.000   0.000 192.000   2.000
   235    0.000    4.324  300   6.124   2.000   0.000   0.000 192.000   2.000
   236    0.000    4.343  300   6.002   2.000   0.000   0.000 192.000   2.000
   237    0.000    4.361  300   5.881   2.000   0.000   0.000 192.000   2.000
   238    0.000    4.380  300   5.761   2.000   0.000   0.000 192.000   2.000
   239    0.000    4.399  300   5.642   2.000   0.000   0.000 192.000   2.000
   240    0.000    4.418  300   5.524   2.000   0.000   0.000 192.000   2.000
   241    0.000    4.062  300   7.884   2.000   0.000   0.000 168.000   2.000
   242    0.000    4.080  300   7.746   2.000   0.000   0.000 168.000   2.000
